v1_tool,category,visibility,feature_id,feature,v2_state,intent,outcome
review_master_stem_metrics,italic,model+app,F18,Master italic angle and stem editing,native-route,documented-with-workflow-gap,No master metadata/stem setter. Slant uses a requested angle and does not set the master italicAngle property.
set_master_stem_metrics,italic,model+app,F18,Master italic angle and stem editing,native-route,documented-with-workflow-gap,No master metadata/stem setter. Slant uses a requested angle and does not set the master italicAngle property.
review_unicode_assignments,unicode,model+app,F24,Unicode/PUA audit and allocation,omitted,documented-with-workflow-gap,Unicode assignment tools and v1 icon-font skill are not in the lean payload. Generic native scripting does not preserve v1 collision/range/previous-map allocation policy automatically.
apply_unicode_assignments,unicode,model+app,F24,Unicode/PUA audit and allocation,omitted,documented-with-workflow-gap,Unicode assignment tools and v1 icon-font skill are not in the lean payload. Generic native scripting does not preserve v1 collision/range/previous-map allocation policy automatically.
review_tunni_geometry,curve-geometry,model+app,F27,Tunni analysis and balance,omitted,documented,Custom Tunni algorithms/candidates were explicitly excluded from the lean benefit queue.
apply_tunni_balance,curve-geometry,model+app,F27,Tunni analysis and balance,omitted,documented,Custom Tunni algorithms/candidates were explicitly excluded from the lean benefit queue.
review_curve_quality,curve-geometry,model+app,F28,Adaptive curve and cross-master diagnostics,partial,decision-needed,Curve Inspector supplies a bounded visual comb; no public adaptive event/continuity report or cross-master quality report equivalent to v1.
review_curve_quality_across_masters,curve-geometry,model+app,F28,Adaptive curve and cross-master diagnostics,partial,decision-needed,Curve Inspector supplies a bounded visual comb; no public adaptive event/continuity report or cross-master quality report equivalent to v1.
set_curve_review_overlay,curve-geometry,model+app,F29,Curvature display,retained,documented,Independent Curve Inspector/native UI retains qualified display behavior. No MCP overlay-toggle/state tool; capability registration alone is not control.
get_curve_review_overlay_state,curve-geometry,app-only,F29,Curvature display,retained,documented,Independent Curve Inspector/native UI retains qualified display behavior. No MCP overlay-toggle/state tool; capability registration alone is not control.
apply_collinear_handles_smooth,curve-geometry,model+app,F30,Collinear smooth-node repair,omitted,documented,Custom smoothness repair and candidate flow are explicitly outside the queue; native UI/script actions remain separate.
preview_tunni_balance_candidate,candidates,model+app,F27,Tunni analysis and balance,omitted,documented,Custom Tunni algorithms/candidates were explicitly excluded from the lean benefit queue.
preview_collinear_handles_candidate,candidates,model+app,F30,Collinear smooth-node repair,omitted,documented,Custom smoothness repair and candidate flow are explicitly outside the queue; native UI/script actions remain separate.
preview_compensated_tuning_candidate,candidates,model+app,F31,Compensated scaling,omitted,documented,General compensated scaling/candidate generation explicitly excluded.
preview_italic_first_pass_candidate,candidates,model+app,F17,Italic first pass,partial,documented,"slant supplies native mechanical shear and optional straight-stem preservation. Full balanced/cursivy policy, curve correction, source-to-target master copying and arbitrary special-layer repair are not ported."
set_outline_candidate_overlay,candidates,model+app,F32,Candidate sessions and history,partial,documented,"Supported edits use jobs/reports/apply/discard and native per-glyph Undo. Independent Reference Inspector compares references, not historical proposal sessions."
get_outline_candidate_state,candidates,model+app,F32,Candidate sessions and history,partial,documented,"Supported edits use jobs/reports/apply/discard and native per-glyph Undo. Independent Reference Inspector compares references, not historical proposal sessions."
materialize_outline_candidate_session,candidates,model+app,F32,Candidate sessions and history,partial,documented,"Supported edits use jobs/reports/apply/discard and native per-glyph Undo. Independent Reference Inspector compares references, not historical proposal sessions."
review_outline_candidate_session,candidates,model+app,F32,Candidate sessions and history,partial,documented,"Supported edits use jobs/reports/apply/discard and native per-glyph Undo. Independent Reference Inspector compares references, not historical proposal sessions."
accept_outline_candidate_session,candidates,model+app,F32,Candidate sessions and history,partial,documented,"Supported edits use jobs/reports/apply/discard and native per-glyph Undo. Independent Reference Inspector compares references, not historical proposal sessions."
discard_outline_candidate_session,candidates,model+app,F32,Candidate sessions and history,partial,documented,"Supported edits use jobs/reports/apply/discard and native per-glyph Undo. Independent Reference Inspector compares references, not historical proposal sessions."
get_glyph_annotations,annotations,model+app,F33,Annotations and managed annotation groups,native-route,documented-with-workflow-gap,No dedicated annotation/group reads or writes. Native annotations can be authored through UI/scripts; managed-group identity/cleanup policy is not supplied.
add_glyph_annotation,annotations,model+app,F33,Annotations and managed annotation groups,native-route,documented-with-workflow-gap,No dedicated annotation/group reads or writes. Native annotations can be authored through UI/scripts; managed-group identity/cleanup policy is not supplied.
add_glyph_annotation_group,annotations,model+app,F33,Annotations and managed annotation groups,native-route,documented-with-workflow-gap,No dedicated annotation/group reads or writes. Native annotations can be authored through UI/scripts; managed-group identity/cleanup policy is not supplied.
update_glyph_annotation,annotations,model+app,F33,Annotations and managed annotation groups,native-route,documented-with-workflow-gap,No dedicated annotation/group reads or writes. Native annotations can be authored through UI/scripts; managed-group identity/cleanup policy is not supplied.
delete_glyph_annotation,annotations,model+app,F33,Annotations and managed annotation groups,native-route,documented-with-workflow-gap,No dedicated annotation/group reads or writes. Native annotations can be authored through UI/scripts; managed-group identity/cleanup policy is not supplied.
clear_glyph_annotations,annotations,model+app,F33,Annotations and managed annotation groups,native-route,documented-with-workflow-gap,No dedicated annotation/group reads or writes. Native annotations can be authored through UI/scripts; managed-group identity/cleanup policy is not supplied.
get_glyph_annotation_groups,annotations,model+app,F33,Annotations and managed annotation groups,native-route,documented-with-workflow-gap,No dedicated annotation/group reads or writes. Native annotations can be authored through UI/scripts; managed-group identity/cleanup policy is not supplied.
ExportDesignspaceAndUFO,export,model+app,F34,Designspace/UFO export,omitted,documented-with-workflow-gap,Dedicated static/variable Designspace/UFO exporter and build-script generation are absent. RV02 TTF export evidence is a different deliverable.
show_glyphs_status,app-feedback,app-only,F39,Embedded feedback panels and target links,omitted,documented-with-workflow-gap,No legacy MCP App feedback panel or embedded-plan endpoints. Agent reports and native companions/UI replace parts of review; clickable per-glyph/style-set navigation is not equivalent.
show_font_feedback,app-feedback,app-only,F39,Embedded feedback panels and target links,omitted,documented-with-workflow-gap,No legacy MCP App feedback panel or embedded-plan endpoints. Agent reports and native companions/UI replace parts of review; clickable per-glyph/style-set navigation is not equivalent.
show_glyph_feedback,app-feedback,app-only,F39,Embedded feedback panels and target links,omitted,documented-with-workflow-gap,No legacy MCP App feedback panel or embedded-plan endpoints. Agent reports and native companions/UI replace parts of review; clickable per-glyph/style-set navigation is not equivalent.
show_opentype_features,app-feedback,app-only,F39,Embedded feedback panels and target links,omitted,documented-with-workflow-gap,No legacy MCP App feedback panel or embedded-plan endpoints. Agent reports and native companions/UI replace parts of review; clickable per-glyph/style-set navigation is not equivalent.
preview_spacing_feedback,app-feedback,app-only,F39,Embedded feedback panels and target links,omitted,documented-with-workflow-gap,No legacy MCP App feedback panel or embedded-plan endpoints. Agent reports and native companions/UI replace parts of review; clickable per-glyph/style-set navigation is not equivalent.
preview_kerning_feedback,app-feedback,app-only,F39,Embedded feedback panels and target links,omitted,documented-with-workflow-gap,No legacy MCP App feedback panel or embedded-plan endpoints. Agent reports and native companions/UI replace parts of review; clickable per-glyph/style-set navigation is not equivalent.
preview_handle_smoothing_feedback,app-feedback,app-only,F39,Embedded feedback panels and target links,omitted,documented-with-workflow-gap,No legacy MCP App feedback panel or embedded-plan endpoints. Agent reports and native companions/UI replace parts of review; clickable per-glyph/style-set navigation is not equivalent.
apply_feedback_plan,app-feedback,app-only,F39,Embedded feedback panels and target links,omitted,documented-with-workflow-gap,No legacy MCP App feedback panel or embedded-plan endpoints. Agent reports and native companions/UI replace parts of review; clickable per-glyph/style-set navigation is not equivalent.
open_feedback_target,app-feedback,app-only,F39,Embedded feedback panels and target links,omitted,documented-with-workflow-gap,No legacy MCP App feedback panel or embedded-plan endpoints. Agent reports and native companions/UI replace parts of review; clickable per-glyph/style-set navigation is not equivalent.
